,division,dept_id,section_id,Line,P10A,,,,,,,P1A,,,,,,,P1B,,,,,,,P1C,,,,,,,P2B,,,,,,,P2R,,,,,,,P3,,,,,,,P5,,,,,,,P6,,,,,,,P7,,,,,,,P8,,,,,,,P9,,,,,,,TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5)
,,,,,TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),,,,,,,
,,,,AB LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,17,0,0,0,0,0,0
,,,,AMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,90,0,0,0,0,0,0
,,,,EC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,6,0,60.620000000000005,60.620000000000005,90.93,90.93,,,,,,,,,,,,,,,,,,,,,,288,6,0,60.620000000000005,60.620000000000005,90.93,90.93
,,,,EC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,4,0,44,44,66,66,,,,,,,,,,,,,,,,,,,,,,101,4,0,44,44,66,66
,,,,INDIRECT LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,15,0,0,0,0,0,0
,,,,P1C AM09 (FG),,,,,,,,,,,,,,,,,,,,,,111,5,0,37.91,37.91,56.86500000000001,56.86500000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,5,0,37.91,37.91,56.86500000000001,56.86500000000001
,,,,P1C AM09 (SUB ASSY),,,,,,,,,,,,,,,,,,,,,,73,2,0,18.55,18.55,27.825,27.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,2,0,18.55,18.55,27.825,27.825
,,,,P1C FLOORCARE,,,,,,,,,,,,,,,,,,,,,,86,1,0,7.6,7.6,11.399999999999999,11.399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,1,0,7.6,7.6,11.399999999999999,11.399999999999999
,,,,P1C HP PROJECT (FG),,,,,,,,,,,,,,,,,,,,,,11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,0,0,0,0,0
,,,,P1C HP PROJECT (SUB ASSY),,,,,,,,,,,,,,,,,,,,,,26,3,0,22.64,22.64,33.96,33.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3,0,22.64,22.64,33.96,33.96
,,,,P1C INDIRECT LINE,,,,,,,,,,,,,,,,,,,,,,6,2,0,15.309999999999999,15.309999999999999,22.965,22.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,0,15.309999999999999,15.309999999999999,22.965,22.965
,,,,P9 (FG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,0,0,0,0,0,0,70,0,0,0,0,0,0
,,,,P9 (SUB ASSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,1,0,7.58,7.58,11.370000000000001,11.370000000000001,138,1,0,7.58,7.58,11.370000000000001,11.370000000000001
,,,,P9 INDIRECT LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,0,0,0,0,7,0,0,0,0,0,0
,DYBU Total,,,,17,0,0,0,0,0,0,,,,,,,,,,,,,,,322,13,0,102.00999999999999,102.00999999999999,153.01500000000001,153.01500000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,11,0,113.22,113.22,169.82999999999998,169.82999999999998,,,,,,,,,,,,,,,221,1,0,7.58,7.58,11.370000000000001,11.370000000000001,1085,25,0,222.81000000000003,222.81000000000003,334.215,334.215
,EMBU,ENG,PROCESS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,27.54,27.54,41.31,41.31,,,,,,,,,,,,,,,6,3,0,27.54,27.54,41.31,41.31
,,,TEST,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,,,,,,,,,,,,,,,3,0,0,0,0,0,0
,,PRODUCTION,SUB ASSY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,41,0,374.39000000000004,374.39000000000004,561.5849999999998,561.5849999999998,,,,,,,,,,,,,,,75,41,0,374.39000000000004,374.39000000000004,561.5849999999998,561.5849999999998
,EMBU Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,44,0,401.93,401.93,602.8949999999998,602.8949999999998,,,,,,,,,,,,,,,84,44,0,401.93000000000006,401.93000000000006,602.8949999999998,602.8949999999998
,FABU,ENG,MAINT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,4,0,0,0,0,0,0
,,PRODUCTION,FILTER,P9 (FILTER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,1,0,7.6,7.6,11.399999999999999,11.399999999999999,97,1,0,7.6,7.6,11.399999999999999,11.399999999999999
,,,,P9 INDIRECT LINE (FILTER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0
,FABU Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,1,0,7.6,7.6,11.399999999999999,11.399999999999999,102,1,0,7.6,7.6,11.399999999999999,11.399999999999999
,FACILITY,FACILITY,FACILITY,0,,,,,,,,,,,,,,,,,,,,,,5,2,0,19.85,19.85,29.775,29.775,2,1,0,11,11,16.5,16.5,,,,,,,,,,,,,,,1,1,0,11,11,16.5,16.5,3,3,0,31.08,31.08,46.620000000000005,46.620000000000005,,,,,,,,1,1,0,11,11,16.5,16.5,3,2,0,22,22,33,33,15,10,0,105.93,105.93,158.895,158.895
,FACILITY Total,,,,,,,,,,,,,,,,,,,,,,,,,5,2,0,19.85,19.85,29.775,29.775,2,1,0,11,11,16.5,16.5,,,,,,,,,,,,,,,1,1,0,11,11,16.5,16.5,3,3,0,31.08,31.08,46.620000000000005,46.620000000000005,,,,,,,,1,1,0,11,11,16.5,16.5,3,2,0,22,22,33,33,15,10,0,105.93,105.93,158.895,158.895
